id,uploaded,pressure,temperature,light,do,ph,runtime,message,_id,time,lat,lon,sats,fix
5568dc2e-646a-4ec8-944b-d8693a613921,false,1020.2520919652773,29.39774212865359,1,30.01,0,3815.956146117,This is a test.,YYlY9ukI2vMotcIu,2022-04-06T12:00:00,12345.678,12345.678,1,0
64ba5419-1d80-4252-8ff1-b6c722052ec5,false,1019.7134688929422,29.39415109876711,1,37.78,0,3837.999237425,This is a test.,xvNCACLqWjQxiwhC,2022-04-06T12:00:00,12345.678,12345.678,1,0
f989836b-ecc3-4df7-972b-30329da4fa5e,false,1019.3309179553092,29.395547613864892,1,37.09,0,3840.003238059,This is a test.,AxXPW8TPzhQG4sEK,2022-04-06T12:00:00,12345.678,12345.678,1,0
131ae4f7-d50a-4f79-a14b-d79e5f40a674,false,1019.2343524752621,29.389562518016874,1,36.64,0,3866.048006313,This is a test.,EgNNjRlIUEBz6c2w,2022-04-06T12:00:00,12345.678,12345.678,1,0
c6d3fe34-f056-4dbd-9d3a-06014dac556e,false,1019.8499328426813,29.38517339609325,1,31.9,0,3872.056821779,This is a test.,cp7pM1ouU9UgCsJM,2022-04-06T12:00:00,12345.678,12345.678,1,0
e2c45086-bffb-409f-b565-f9be4711cf29,false,1018.8250660974358,29.385838417375,1,37.38,0,3882.075206114,This is a test.,DFcvB3v0259GUjfi,2022-04-06T12:00:00,12345.678,12345.678,1,0
b5a66ac4-25b2-47f7-9fb1-8fa4d2ee2199,false,1019.9251819634665,29.390892546337454,1,31.44,0,3890.090699049,This is a test.,V9K0ss5e6y9D1Nzf,2022-04-06T12:00:00,12345.678,12345.678,1,0
369f882a-1bf1-4ba7-9467-7ebacb480ac8,false,1019.2762676699961,29.38670294354165,1,34.76,0,3904.115144671,This is a test.,g7sRUw7u7zoeTPnv,2022-04-06T12:00:00,12345.678,12345.678,1,0
511b3dd1-b6f4-4f7a-877c-cf30a9bf7f77,false,1019.3112111237831,29.394683105040144,1,36.67,0,3910.1248782,This is a test.,luyf1jQIMlXCv1aw,2022-04-06T12:00:00,12345.678,12345.678,1,0
32cf751f-4295-452d-96a7-99e495cd2af7,false,1019.3874068619509,29.39980363259633,1,38.23,0,3914.129504984,This is a test.,heThX0yXXh1v1nfh,2022-04-06T12:00:00,12345.678,12345.678,1,0
57ddcd0e-aed7-464e-82c1-185ad4907356,false,1020.3810448748351,29.396013117914663,1,26.95,0,3926.155593445,This is a test.,ohvH4ECMMxirhDlO,2022-04-06T12:00:00,12345.678,12345.678,1,0
274a637d-1f0b-49c0-8520-a67a5cc26e10,false,1019.3944487017113,29.396412120994682,1,27.83,0,3928.157848244,This is a test.,5dv2U0UHCeSr64pv,2022-04-06T12:00:00,12345.678,12345.678,1,0
9a992e77-f600-4bd6-8b8f-9ea244fa8f95,false,1020.0756564644107,29.399072132300603,1,24.9,0,3934.172470842,This is a test.,gnkEfdIUD2hahQCz,2022-04-06T12:00:00,12345.678,12345.678,1,0
c89daff7-a6d7-4606-9a45-73072d470950,false,1019.3778592957184,29.397476127442815,1,26,0,3936.172855305,This is a test.,fS6M3NMbTWWUpGg4,2022-04-06T12:00:00,12345.678,12345.678,1,0
76d83207-ce04-48e4-85aa-c6f2aef7f784,false,1019.8802064038813,29.39767562836596,1,25.95,0,3938.173197008,This is a test.,vZLgbXsufB04LGJT,2022-04-06T12:00:00,12345.678,12345.678,1,0
a6258f17-8ea8-4c31-b0d2-6078f42bf4ac,false,1019.5556400753965,29.390892546337454,1,26.79,0,3968.224165254,This is a test.,cUU95waR8BvoeiHd,2022-04-06T12:00:00,12345.678,12345.678,1,0
90f151cf-8dfd-4650-8d70-7942abb1335c,false,1020.0174088401807,29.399072132300603,1,27.48,0,3984.252344996,This is a test.,XTYeclDGqOsxRWWl,2022-04-06T12:00:00,12345.678,12345.678,1,0
14f0bdcf-856f-4c0a-9262-a26d5704f1e6,false,1019.7280850715266,29.399138632377685,1,30.43,0,3990.262692067,This is a test.,m0z3QoeMO2Leutn6,2022-04-06T12:00:00,12345.678,12345.678,1,0
c3ad3530-426c-4859-8f38-73897eb38571,false,1019.3819565657293,29.400867630860375,1,28.18,0,4010.29718694,This is a test.,tLY7z1ZJRLJmMhbm,2022-04-06T12:00:00,12345.678,12345.678,1,0
b18b06c5-0ad8-4556-aa53-71aab2c012b6,false,1020.6151182770496,29.392555076096187,1,28.78,0,4012.301036875,This is a test.,TVuOXqgYQcbLLz0g,2022-04-06T12:00:00,12345.678,12345.678,1,0
03605b83-2d84-4512-8790-918a28f589d1,false,1019.5765545708534,29.40259662256301,1,27.09,0,4018.310760763,This is a test.,5LWAS2bs2qErpRpR,2022-04-06T12:00:00,12345.678,12345.678,1,0
15cba9be-9e43-49e8-baca-d8e0120de1fe,false,1019.7794385917165,29.404791102268177,1,25.47,0,4026.325304195,This is a test.,EETLNZPoY84kSLMB,2022-04-06T12:00:00,12345.678,12345.678,1,0
f8972b01-82c1-4768-b91f-af2d97e29ad7,false,1019.8293119401467,29.411839963192733,1,26.55,0,4046.359942817,This is a test.,AQJmLI9mvUUcuqM4,2022-04-06T12:00:00,12345.678,12345.678,1,0
02608177-54a5-44dd-957d-90b69fcb3a86,false,1019.3153181405971,29.413967899063664,1,29.58,0,4058.384497863,This is a test.,i5lq0h3bkq7gKoZ1,2022-04-06T12:00:00,12345.678,12345.678,1,0
eb7e626a-cd9d-45e9-9941-1a3b147d4f98,false,1020.1840736058105,29.408714538763775,1,28.43,0,4064.395469436,This is a test.,4bByJybha3ddQeeZ,2022-04-06T12:00:00,12345.678,12345.678,1,0
0504bb18-0001-4d81-b575-64fe43e3dcd3,false,1018.817649201231,29.41310342635461,1,27.02,0,4072.413885643,This is a test.,PN8Bscndv5Ql3D8A,2022-04-06T12:00:00,12345.678,12345.678,1,0
fb23f4d7-d2dc-463c-84fc-bb8ce6a07cc8,false,1019.8127222253358,29.414433383666392,1,27.36,0,4076.422426468,This is a test.,iw98RD4xee0fZJN6,2022-04-06T12:00:00,12345.678,12345.678,1,0
